year,iter,SDI,L2_return,L1_return,L2_insolvent,L1_insolvent,yearly_premium,claims,wind,fire,hail,hurricane
2014,60,25672.27093755288,0.59894355217639506,0.37465462433945285,0,0,12.143449578860352,0,0,0,0,0
2015,60,25672.27093755288,0.5698919471452508,-0.420258514263945,0,0,12.143449578860352,1,0,1,0,0
2016,60,25672.27093755288,0.638701381563086,0.37411813693371454,0,0,12.176719303733943,0,0,0,0,0
2017,60,25672.27093755288,-0.40848838902979556,0.37270911758498726,0,0,12.143449578860352,13,0,1,0,12
2018,60,25672.27093755288,0.3545007697612452,-0.2272573800377783,0,0,12.143449578860352,3,0,0,0,3
2019,60,25672.27093755288,0.5618861632031165,0.17693006892542895,0,0,12.143449578860352,0,0,0,0,0
2020,60,25672.27093755288,-0.8443665113829123,-0.8664007894074979,1,0,12.176719303733943,25,0,3,0,22
2021,60,25672.27093755288,-0.795726714245884,0.3782499123893983,0,0,12.143449578860352,19,0,2,0,17
2022,60,25672.27093755288,0.5801331410376172,0.37604252592235987,0,0,12.143449578860352,0,0,0,0,0
2023,60,25672.27093755288,0.5725176396931793,0.3731302743462446,0,0,12.143449578860352,1,0,1,0,0
1955,61,46747.930107159686,0.6739637302413752,0.37743141954744575,0,0,14.088231313516673,0,0,0,0,0
1956,61,46747.930107159686,0.5908518145073103,0.38027725361041753,0,0,14.126829207526306,0,0,0,0,0
1957,61,46747.930107159686,0.5859664068757087,0.3733727576370982,0,0,14.088231313516673,0,0,0,0,0
1958,61,46747.930107159686,0.4872247134681731,0.37439434737756727,0,0,14.088231313516673,1,0,0,0,1
1959,61,46747.930107159686,-0.43128067312962437,0.3746136419900561,0,0,14.088231313516673,15,0,0,0,15
1960,61,46747.930107159686,0.38898063806805583,0.3742624028200414,0,0,14.126829207526306,4,0,0,0,4
1961,61,46747.930107159686,-0.6141335719240031,0.3744907279054235,0,0,14.088231313516673,18,0,0,0,18
1962,61,46747.930107159686,0.6103472431061527,0.3696511939547058,0,0,14.088231313516673,0,0,0,0,0
1963,61,46747.930107159686,0.6484936925553033,0.373379413244866,0,0,14.088231313516673,0,0,0,0,0
1964,61,46747.930107159686,0.5704672124198551,0.07681022639643142,0,0,14.126829207526306,0,0,0,0,0
1965,61,46747.930107159686,0.6601168220608231,0.37371509249462953,0,0,14.088231313516673,0,0,0,0,0
1966,61,46747.930107159686,0.5796048107542224,0.25244317512032777,0,0,14.088231313516673,0,0,0,0,0
1967,61,46747.930107159686,0.5996095669289527,0.3766348670675437,0,0,14.088231313516673,1,0,0,0,1
1968,61,46747.930107159686,0.09322147363895361,0.0750907847535851,0,0,14.126829207526306,8,0,0,0,8
1969,61,46747.930107159686,0.04128656739233283,0.3726088827545757,0,0,14.088231313516673,8,0,0,0,8
1970,61,46747.930107159686,0.6186615864833955,0.3729798695609772,0,0,14.088231313516673,0,0,0,0,0
1971,61,46747.930107159686,0.5818369967002495,0.37284945512680756,0,0,14.088231313516673,0,0,0,0,0
1972,61,46747.930107159686,0.5660483326448018,0.21544289266647332,0,0,14.126829207526306,2,0,0,1,1
1973,61,46747.930107159686,0.6271999389411806,0.2843695736940215,0,0,14.088231313516673,0,0,0,0,0
1974,61,46747.930107159686,0.3801904519937507,0.05241539743223633,0,0,14.088231313516673,2,2,0,0,0
1975,61,46747.930107159686,0.5971285542972922,0.37838765378819983,0,0,14.088231313516673,0,0,0,0,0
1976,61,46747.930107159686,0.5936630460587291,0.37551717039882826,0,0,14.126829207526306,1,0,0,0,1
1977,61,46747.930107159686,0.6593738611714588,-0.06434792205261308,0,0,14.088231313516673,0,0,0,0,0
1978,61,46747.930107159686,0.6247357379458296,-0.18269320238434295,0,0,14.088231313516673,0,0,0,0,0
1979,61,46747.930107159686,-0.8682735709050708,0.2577246361265546,1,0,14.088231313516673,25,0,0,0,25
1980,61,46747.930107159686,0.6345500574954264,-0.25351626354326307,0,0,14.126829207526306,0,0,0,0,0
1981,61,46747.930107159686,0.5625850764899085,0.37263177476225073,0,0,14.088231313516673,1,1,0,0,0
1982,61,46747.930107159686,0.6891695528280959,0.1058068120606539,0,0,14.088231313516673,0,0,0,0,0
1983,61,46747.930107159686,0.680950726617539,-0.06012127845192017,0,0,14.088231313516673,0,0,0,0,0
1984,61,46747.930107159686,0.6296659324408673,0.37385075816449187,0,0,14.126829207526306,0,0,0,0,0
1985,61,46747.930107159686,0.5323852584897955,-0.6358688183271872,0,0,14.088231313516673,0,0,0,0,0
1986,61,46747.930107159686,0.6253691552154585,0.10408279863767023,0,0,14.088231313516673,0,0,0,0,0
