case_id,p_name,p_year,p_state,p_county,ylat,xlong,p_cap_ac
406463,Duane Arnold Solar I (50 MW),2024,IA,Linn,42.108124,-91.790916,50
402996,Prairie State Solar Project,2021,IL,Perry,38.192234,-89.558334,99
404071,"Dressor Plains Solar, LLC",2021,IL,Fayette,39.167641,-89.049599,99
404485,"Prairie Wolf Solar, LLC",2021,IL,Coles,39.559807,-87.975761,200
404711,Big River Solar,2022,IL,White,38.077854,-88.308533,149
405814,"Mulligan Solar, LLC",2022,IL,Logan,40.094292,-89.418037,70
406276,"Earp Solar, LLC",2024,IL,Warren,40.892017,-90.66761,35
406348,River Ferry Solar 1,2023,IL,Clark,39.271698,-87.615395,165.3
406352,Prairie Creek Solar,2023,IL,Morgan,39.805435,-90.22435,30
403890,Troy Solar,2021,IN,Spencer,38.037422,-86.788963,50.4
404249,"Riverstart Solar Park, LLC",2021,IN,Randolph,40.045197,-85.051437,200
405957,Indiana Crossroads Solar Park,2023,IN,White,40.730057,-86.842941,200
406281,Dunn's Bridge 1 Solar,2023,IN,Jasper,41.203407,-86.959297,265
405726,Bellflower Solar 1,2023,IN,Henry,39.790691,-85.413849,152.5
406617,Cavalry Solar Hybrid,2024,IN,White,40.894764,-86.808716,200
404743,"SR Turkey Creek, LLC",2021,KY,Garrard,37.588112,-84.579544,57.6
406073,"Glover Creek Solar, LLC",2024,KY,Metcalfe,36.902843,-85.716919,55
402510,LA3 West Baton Rouge Solar Facility,2020,LA,West Baton Rouge,30.466032,-91.317223,50
405463,"Iris Solar, LLC",2022,LA,Washington,30.777637,-90.215546,50
406123,Oak Ridge Solar,2023,LA,Morehouse,32.591274,-91.778435,200
401336,Great Bay Solar 1,2018,MD,Somerset,38.170525,-75.693695,75
404960,Ripley,2023,MD,Charles,38.534893,-77.096603,27.5
404633,Bluegrass Solar,2022,MD,Queen Anne's,39.169926,-75.954376,79.6
401644,Demille Solar Farm,2017,MI,Lapeer,43.036228,-83.338158,28.6
405688,Calhoun Solar,2022,MI,Calhoun,42.3522,-85.055229,200
406200,"Cereal City Solar, LLC",2023,MI,Calhoun,42.30888,-85.034454,100
405400,Assembly Solar Project,2020,MI,Shiawassee,43.040314,-83.932983,50
405587,Assembly Solar III,2022,MI,Shiawassee,43.030617,-83.957962,79
405520,"Assembly Solar II, LLC",2021,MI,Shiawassee,43.054295,-83.948875,110
402865,Meridian III,2019,MS,Lauderdale,32.448696,-88.560394,52.5
404649,Sunflower County,2019,MS,Sunflower,33.755505,-90.52787,100
